,D,vo,fs,mean_f_coll,error_f_coll,mean_no,error_no,per_motor_force,force_per_2motor_state
111,1.0,6e-07,8e-12,-8.990499885401119e-12,1.5026439982875023e-14,1.6916609741999895,0.0024532080684872685,-5.31459909669717e-12,-5.3542382194919685e-12
112,1.0,7e-07,1e-12,-3.2642968733790224e-12,4.573474778841546e-15,2.273874409539854,0.002418288832027645,-1.4355660364019806e-12,-1.4514823763628087e-12
113,1.0,7e-07,2e-12,-4.0820155344095606e-12,5.840038319775927e-15,2.1284435138669546,0.002534270443166285,-1.9178406698674176e-12,-1.9607250725357137e-12
114,1.0,7e-07,3e-12,-5.084522582994432e-12,7.539214417503285e-15,2.0765501870572316,0.002628589871973584,-2.4485430762450903e-12,-2.478597876047439e-12
115,1.0,7e-07,4e-12,-5.9802964155269465e-12,8.819541476730086e-15,1.9899894283158495,0.0025695714675708827,-3.005190042938137e-12,-3.0159484879611264e-12
116,1.0,7e-07,5e-12,-6.943535173091015e-12,9.49204848420926e-15,1.930679315082161,0.0023001810460452,-3.596420761774997e-12,-3.7125353186157e-12
117,1.0,7e-07,6e-12,-7.877753927980438e-12,1.1631539941422563e-14,1.8699135844539394,0.002439170871065507,-4.21289731968065e-12,-4.283540938845475e-12
118,1.0,7e-07,7e-12,-8.967778356944644e-12,1.40736603383361e-14,1.8567883564444776,0.002521627565526803,-4.82972565280237e-12,-4.8726443443815314e-12
119,1.0,7e-07,8e-12,-9.860688004077548e-12,1.6235967947543507e-14,1.8084421506668527,0.0025706543530116545,-5.4525869132399265e-12,-5.601893406661514e-12
120,1.0,8e-07,1e-12,-3.317102565609515e-12,4.896557433712807e-15,2.2759710229075663,0.0026654212582975763,-1.4574449903900345e-12,-1.4758740934749235e-12
121,1.0,8e-07,2e-12,-4.32371760879962e-12,5.6646162100754285e-15,2.248851373009937,0.0024723056298297996,-1.922633776821193e-12,-1.9332347380566677e-12
122,1.0,8e-07,3e-12,-4.8684558996230695e-12,6.854806396666882e-15,1.9649330350741345,0.0023928764579091715,-2.4776701356844908e-12,-2.5009826519149506e-12
123,1.0,8e-07,4e-12,-6.16086373703223e-12,8.281841751335966e-15,2.014374169096638,0.0023811137589807526,-3.05845052599891e-12,-3.1345194596127e-12
124,1.0,8e-07,5e-12,-7.1356167144306815e-12,9.863143737647157e-15,1.9570880589576696,0.0024390549756972833,-3.646037633192171e-12,-3.670000393354364e-12
125,1.0,8e-07,6e-12,-8.48527432888062e-12,1.1609093844820828e-14,1.9877579517775963,0.002416904272511727,-4.2687663864166544e-12,-4.3611610507186065e-12
126,1.0,8e-07,7e-12,-9.102596439787629e-12,1.2881546185589512e-14,1.8587210537497345,0.002319947002220468,-4.897236420400088e-12,-4.955978152796188e-12
127,1.0,8e-07,8e-12,-1.0327990682231202e-11,1.5434122682820373e-14,1.860279698389755,0.0024663247809801974,-5.551848300645886e-12,-5.660841457782291e-12
