,ASB1n1v2,ASB1n2v2,ASB1n3v2,ASB1n4v2,ASB1n5v2,,,,
359,15.523958,14.875787,0.884542,3.168006,16.828739,,,,
360,4.917745,15.395074,26.751683,11.104798,6.234853,,,,
361,6.343687,5.31864,8.73644,10.321797,1.793006,,,,
362,13.268132,21.18801,1.581065,3.914749,0.396499,,,,
363,4.511638,0.265114,7.3363,8.431919,0.775204,,,,
364,3.608382,38.115865,3.023348,11.828324,13.782725,,,,
365,8.209609,1.658362,3.657482,7.437869,1.64522,,,,
366,7.219921,2.241938,10.874445,10.996508,5.056995,,,,
367,9.740583,4.066728,3.462764,5.982554,1.790481,,,,
368,3.221327,17.772678,5.233085,13.992212,1.605201,,,,
369,4.618024,7.3197,0.809052,16.07683,0.860627,,,,
370,4.58169,3.894748,10.044932,16.320295,3.472552,,,,
371,12.263881,0.464568,2.22909,0.777056,16.811211,,,,
372,0.92543,5.117376,11.349614,11.566781,3.190525,,,,
373,9.542453,1.500537,8.615492,5.057237,7.466838,,,,
374,5.72374,17.186654,7.425065,3.457526,10.944205,,,,
375,8.519883,12.013621,0.99291,6.861581,6.506694,,,,
376,2.622804,2.900292,7.219629,0.328781,24.385765,,,,
377,4.304008,27.698398,0.557574,0.598027,7.540816,,,,
378,25.737459,10.541752,15.601552,7.422943,2.402866,,,,
379,7.043692,0.504981,1.830962,1.708377,0.381656,,,,
380,4.655817,2.022426,1.945772,15.628553,5.888655,,,,
381,30.995853,3.757515,9.238161,0.894122,7.919349,,,,
382,3.383779,5.603576,1.356137,5.588748,3.208021,,,,
383,8.686272,4.057377,6.597554,22.233863,23.647758,,,,
384,12.554226,2.609404,0.827945,12.019091,6.226327,,,,
385,7.262641,10.406743,2.110364,6.122482,1.864307,,,,
386,2.014335,4.113438,4.082692,9.126317,4.349292,,,,
387,33.018488,0.211855,1.745344,6.472688,5.087783,,,,
388,37.889773,24.982082,2.591119,7.716497,7.129488,,,,
389,49.894157,19.960336,10.907853,0.536212,4.26926,,,,
390,6.694285,0.787419,2.670251,0.224723,19.677806,,,,
391,5.92025,0.434778,19.302543,8.181161,0.680876,,,,
392,3.280379,31.023737,8.481381,4.018224,0.113086,,,,
393,1.366227,11.079682,0.169167,27.583684,9.975742,,,,
394,10.09784,3.131237,7.458007,0.914702,3.402985,,,,
395,25.698603,9.313783,4.615961,14.228469,0.856685,,,,
396,7.177498,8.827483,0.418352,0.938857,6.004031,,,,
397,2.827606,1.908705,4.097775,0.767898,2.346011,,,,
398,3.363571,1.583186,8.864894,23.604655,1.172307,,,,
399,5.596708,13.290033,8.89317,0.521477,2.997512,,,,
400,25.400587,2.722432,1.857263,10.487729,2.624517,,,,
401,6.940397,20.328692,1.722174,6.825738,0.445327,,,,
402,0.14161,8.374166,1.036655,18.423613,8.990176,,,,
403,0.64373,7.4107,12.548024,8.106765,0.963706,,,,
404,5.244145,23.79913,20.23999,1.51714,2.95455,,,,
405,3.36452,4.636467,5.724073,10.040323,5.336769,,,,
406,3.091791,3.158437,1.408247,17.005804,23.113817,,,,
407,3.977245,8.929659,1.842561,7.538712,8.404875,,,,
408,5.149626,4.631534,9.472593,3.417922,6.714785,,,,
409,0.804208,9.333425,18.801706,1.077629,0.74785,,,,
410,7.812336,20.908103,0.44328,5.852736,1.670446,,,,
411,21.324927,18.891208,3.049079,6.445423,8.607004,,,,
412,7.189194,0.882371,8.268636,3.67667,3.764107,,,,
413,1.065656,3.77349,10.641529,0.217391,14.518162,,,,
414,7.888918,15.934799,2.428484,5.166752,5.475162,,,,
415,26.898159,18.105299,10.194958,13.094938,0.516316,,,,
416,4.635576,5.918141,0.355191,0.737516,3.095383,,,,
417,4.930509,1.954596,12.571879,14.655117,0.947491,,,,
418,0.844788,2.768919,3.858653,26.970493,1.771336,,,,
419,0.756753,0.890894,1.719784,0.742772,0.026926,,,,
420,9.457022,5.6115,13.058032,2.349828,4.927295,,,,
421,8.616404,1.040919,1.50166,1.453746,0.273062,,,,
422,1.413062,30.870061,4.621727,4.011663,0.313086,,,,
423,1.861793,17.593092,10.806912,6.610115,7.103091,,,,
424,3.875749,11.128417,9.813862,13.605659,4.16676,,,,
425,2.971943,1.681324,9.214641,1.803508,2.229292,,,,
426,9.691683,55.664155,0.265132,1.030183,18.668658,,,,
427,3.235776,9.349861,2.150821,12.121203,13.623302,,,,
428,3.952502,1.913282,1.142707,10.455627,1.436514,,,,
429,4.112578,4.493853,4.746535,11.138628,14.338082,,,,
430,6.024866,12.219625,0.76124,1.563692,9.584931,,,,
431,29.304183,13.084425,8.861429,2.794702,10.864094,,,,
432,1.181253,1.353766,10.438184,8.942228,11.514949,,,,
433,3.163362,3.238057,13.878193,3.814992,7.100203,,,,
434,2.123803,15.038433,8.93954,10.45855,1.170617,,,,
435,17.941691,0.904741,0.60363,19.570505,12.66865,,,,
436,4.975422,6.319951,6.184544,0.233142,0.901885,,,,
437,11.979398,1.293099,3.84704,0.903552,0.345117,,,,
438,12.154441,24.756579,11.542327,12.013725,4.572035,,,,
439,6.516147,19.074975,5.642797,1.150055,0.50972,,,,
440,12.329477,7.354056,0.960223,4.416657,0.078472,,,,
441,9.687433,7.378125,17.883754,17.621035,5.704336,,,,
